gene_callers_id	source	accession	function	e_value
593	COG20_FUNCTION	COG4606	ABC-type enterochelin transport system, permease component (CeuB)	9.8e-41
594	COG20_FUNCTION	COG4607	ABC-type enterochelin transport system, periplasmic component (CeuA) (PDB:3ZKW)	2.3e-73
595	COG20_FUNCTION	COG1752	Predicted acylesterase/phospholipase RssA, containd patatin domain (RssA) (PDB:5FQU)	1.3e-52
596	COG20_FUNCTION	COG0151	Phosphoribosylamine-glycine ligase (PurD) (PDB:1GSO)	2.4e-140
597	COG20_FUNCTION	COG1570	Exonuclease VII, large subunit (XseA)	2.1e-119
598	COG20_FUNCTION	COG0471!!!COG0490	Di- and tricarboxylate antiporter (CitT) (PDB:4F35)!!!K+/H+ antiporter KhtSTU, c-di-AMP-binding regulatory subunit KhtT, contains RCK_C (TrkA_C) domain (KhtT) (PDB:4J90) (PUBMED:24330391;31061098)	1e-138
599	COG20_FUNCTION	COG0020	Undecaprenyl pyrophosphate synthase (UppS) (PDB:1X07)	9.2e-62
601	COG20_FUNCTION	COG2984	ABC-type uncharacterized transport system, periplasmic component (PDB:3LFT)	1.2e-75
602	COG20_FUNCTION	COG4120	ABC-type uncharacterized transport system, permease component	1e-65
603	COG20_FUNCTION	COG1101	ABC-type uncharacterized transport system, ATPase component (PhnK)	1.1e-57
604	COG20_FUNCTION	COG1217	Predicted membrane GTPase TypA/BipA involved in stress response (TypA) (PDB:5A9V)	2.2e-18
605	COG20_FUNCTION	COG0483	Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family (SuhB) (PDB:1AWB)	3.8e-67
606	COG20_FUNCTION	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily (PldB) (PDB:5O7G)	1.8e-63
607	COG20_FUNCTION	COG1611	Nucleotide monophosphate nucleosidase PpnN/YdgH, Lonely Guy (LOG) family (PpnN) (PDB:2PMB) (PUBMED:25728768;27941785;31023582;31420341)	7.5e-62
609	COG20_FUNCTION	COG0071	Small heat shock protein IbpA, HSP20 family (IbpA) (PDB:1GME)	5.6e-44
610	COG20_FUNCTION	COG1506	Dipeptidyl aminopeptidase/acylaminoacyl peptidase (DAP2) (PDB:2JBW)	7.4e-104
611	COG20_FUNCTION	COG4813	Trehalose utilization protein (ThuA) (PDB:1T0B)	3e-89
612	COG20_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	4.5e-186
613	COG20_FUNCTION	COG1018	Flavodoxin/ferredoxin--NADP reductase (Fpr) (PDB:3OZU)	5e-120
614	COG20_FUNCTION	COG0800	2-keto-3-deoxy-6-phosphogluconate aldolase (Eda) (PDB:2V81)	1.7e-67
615	COG20_FUNCTION	COG3734	2-keto-3-deoxy-galactonokinase (DgoK) (PDB:3R1X)	4.8e-58
616	COG20_FUNCTION	COG0673	Predicted dehydrogenase (MviM) (PDB:3UUW)	1.1e-51
617	COG20_FUNCTION	COG0178	Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F)	5e-174
618	COG20_FUNCTION	COG3264	Small-conductance mechanosensitive channel MscK (MscK)	2.1e-88
621	COG20_FUNCTION	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component (UgpB) (PDB:2Z8D)	1.1e-156
622	COG20_FUNCTION	COG0395	ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)	2.6e-111
623	COG20_FUNCTION	COG1175	ABC-type sugar transport system, permease component (UgpA) (PDB:3FH6)	8.5e-105
625	COG20_FUNCTION	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family (UshA) (PDB:1HO5)	4.2e-226
626	COG20_FUNCTION	COG3904	Predicted periplasmic protein	1.5e-19
627	COG20_FUNCTION	COG0626	Cystathionine beta-lyase/cystathionine gamma-synthase (MetC) (PDB:1CL1)	4.9e-23
628	COG20_FUNCTION	COG2931	Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)	1.1e-43
630	COG20_FUNCTION	COG2207!!!COG3708	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)!!!Predicted transcriptional regulator YdeE, contains AraC-type DNA-binding domain (YdeE)	5.1e-94
632	COG20_FUNCTION	COG0658	DNA uptake channel protein ComEC, N-terminal domain (ComEC)	1.2e-41
633	COG20_FUNCTION	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	6e-33
635	COG20_FUNCTION	COG5395	Uncharacterized membrane protein	1.1e-23
636	COG20_FUNCTION	COG1280	Threonine/homoserine/homoserine lactone efflux protein (RhtB)	9.6e-31
637	COG20_FUNCTION	COG0187	DNA gyrase/topoisomerase IV, subunit B (GyrB) (PDB:1EI1)	0
638	COG20_FUNCTION	COG0744	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase (MrcB) (PDB:3FWL)	1.8e-14
639	COG20_FUNCTION	COG3063!!!COG5616	Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)!!!TolB amino-terminal domain (function unknown) (TolBN) (PDB:1C5K) (PUBMED:10673426;24821816)	3.9e-87
640	COG20_FUNCTION	COG0671	Membrane-associated phospholipid phosphatase (PgpB) (PDB:1D2T)	1.5e-37
642	COG20_FUNCTION	COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains (GlmS) (PDB:2J6H)	3.2e-117
644	COG20_FUNCTION	COG2928	Uncharacterized membrane protein (PUBMED:19363116)	1.4e-67
645	COG20_FUNCTION	COG1200	RecG-like helicase (RecG) (PDB:1GM5)	1.3e-217
646	COG20_FUNCTION	COG2938	Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module (SdhE) (PDB:1PUZ)	2.7e-15
647	COG20_FUNCTION	COG1197	Transcription-repair coupling factor (superfamily II helicase) (Mfd) (PDB:2EYQ)	0
648	COG20_FUNCTION	COG0102	Ribosomal protein L13 (RplM) (PDB:1VS6)	6.7e-61
649	COG20_FUNCTION	COG0103	Ribosomal protein S9 (RpsI) (PDB:4V4H)	3.9e-56
650	COG20_FUNCTION	COG1280	Threonine/homoserine/homoserine lactone efflux protein (RhtB)	8.8e-51
651	COG20_FUNCTION	COG0002	N-acetyl-gamma-glutamylphosphate reductase (ArgC) (PDB:3DR3)	7.1e-127
652	COG20_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)	1.6e-37
653	COG20_FUNCTION	COG0451	Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G)	1.3e-09
654	COG20_FUNCTION	COG1961	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE (SpoIVCA) (PDB:1GDT)	7.4e-08
655	COG20_FUNCTION	COG2378	Predicted DNA-binding transcriptional regulator YobV, contains HTH and WYL domains (YobV)	2.3e-105
656	COG20_FUNCTION	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	1.7e-151
657	COG20_FUNCTION	COG4430	Uncharacterized conserved protein YdeI, YjbR/CyaY-like superfamily, DUF1801 family (YdeI)	1.2e-80
658	COG20_FUNCTION	COG1414	DNA-binding transcriptional regulator, IclR family (IclR) (PDB:1MKM)	5.2e-07
659	COG20_FUNCTION	COG0235	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation) (AraD) (PDB:1FUA) (PUBMED:31950558)	1.9e-54
660	COG20_FUNCTION	COG2329	Heme-degrading monooxygenase HmoA and related ABM domain proteins (HmoA) (PDB:1IUJ) (PUBMED:21873409)	6.5e-27
661	COG20_FUNCTION	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)	1.6e-142
662	COG20_FUNCTION	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)	4.2e-30
663	COG20_FUNCTION	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)	5e-85
664	COG20_FUNCTION	COG0625	Glutathione S-transferase (GstA) (PDB:1A0F)	1.6e-61
665	COG20_FUNCTION	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (YdfG) (PDB:3P19)	1.1e-105
666	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	5.9e-80
667	COG20_FUNCTION	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	2.3e-45
668	COG20_FUNCTION	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases (UbiH) (PDB:1BF3)	4.4e-96
669	COG20_FUNCTION	COG3386	Sugar lactone lactonase YvrE (YvrE) (PDB:1E1A)	2.2e-41
670	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	6.4e-85
671	COG20_FUNCTION	COG0141	Histidinol dehydrogenase (HisD) (PDB:1K75)	6e-192
672	COG20_FUNCTION	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component (AraH)	3.8e-42
673	COG20_FUNCTION	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component (AraH)	2.8e-29
674	COG20_FUNCTION	COG1129	ABC-type sugar transport system, ATPase component (MglA)	5e-91
676	COG20_FUNCTION	COG0194	Guanylate kinase (Gmk) (PDB:1EX6)	1.6e-63
677	COG20_FUNCTION	COG1559	Endolytic transglycosylase MltG, terminates peptidoglycan polymerization (MltG) (PDB:2R1F) (PUBMED:26507882)	1e-78
678	COG20_FUNCTION	COG0304	3-oxoacyl-(acyl-carrier-protein) synthase (FabB) (PDB:2UV8) (PUBMED:21652641)	2.2e-178
679	COG20_FUNCTION	COG0236	Acyl carrier protein (AcpP) (PDB:1ACP)	4.9e-28
680	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	7.5e-91
682	COG20_FUNCTION	COG0331	Malonyl CoA-acyl carrier protein transacylase (FabD) (PDB:1YXC)	1.5e-104
683	COG20_FUNCTION	COG0360	Ribosomal protein S6 (RpsF) (PDB:4V4H)	4.8e-32
684	COG20_FUNCTION	COG0238	Ribosomal protein S18 (RpsR) (PDB:4V4H)	1.1e-30
685	COG20_FUNCTION	COG0359	Ribosomal protein L9 (RplI) (PDB:1VS6) (PUBMED:27112601)	8.2e-43
686	COG20_FUNCTION	COG0305	Replicative DNA helicase (DnaB) (PDB:1B79)	1.9e-176
687	COG20_FUNCTION	COG0787	Alanine racemase (Alr) (PDB:1BD0)	1.9e-72
688	COG20_FUNCTION	COG1066	DNA repair protein RadA/Sms, contains AAA+ ATPase domain (Sms) (PDB:5LKM) (PUBMED:30877841)	5.9e-161
689	COG20_FUNCTION	COG1286	Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation (CvpA) (PUBMED:27795353)	1.1e-29
690	COG20_FUNCTION	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase (PurF) (PDB:1ECB)	1.6e-188
691	COG20_FUNCTION	COG0300	Short-chain dehydrogenase (YqjQ)	2.8e-26
692	COG20_FUNCTION	COG0516!!!COG0517	IMP dehydrogenase/GMP reductase (GuaB) (PDB:1B3O)!!!CBS domain (CBS) (PDB:1B3O)	4.5e-35
693	COG20_FUNCTION	COG1247	L-amino acid N-acyltransferase MnaT (MnaT) (PDB:3DR6) (PUBMED:27941785)	1.9e-26
695	COG20_FUNCTION	COG0293	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ (RlmE) (PDB:1EIZ) (PUBMED:10769117)	7e-70
696	COG20_FUNCTION	COG0248	Exopolyphosphatase/pppGpp-phosphohydrolase (GppA) (PDB:1T6C)	4.2e-104
698	COG20_FUNCTION	COG3200	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II (AroG2) (PDB:6BMC)	6.5e-197
699	COG20_FUNCTION	COG1249	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase (Lpd) (PDB:6QKG)	1.2e-171
701	COG20_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)	2.5e-88
702	COG20_FUNCTION	COG0120	Ribose 5-phosphate isomerase (RpiA) (PDB:1KS2)	6.3e-55
703	COG20_FUNCTION	COG0461	Orotate phosphoribosyltransferase (PyrE) (PDB:4WML)	2.7e-42
704	COG20_FUNCTION	COG0418	Dihydroorotase (PyrC) (PDB:2Y3D)	3e-113
705	COG20_FUNCTION	COG1220	ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU (HslU) (PDB:1DO0)	6.3e-16
707	COG20_FUNCTION	COG0534	Na+-driven multidrug efflux pump, DinF/NorM/MATE family (NorM) (PDB:3VVN) (PUBMED:29915058)	1.7e-117
708	COG20_FUNCTION	COG0475!!!COG1226	Kef-type K+ transport system, membrane component KefB (KefB) (PDB:4BWZ)!!!Voltage-gated potassium channel Kch (Kch) (PDB:3FWZ)	1.2e-111
709	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	3.9e-17
710	COG20_FUNCTION	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)	6.7e-188
711	COG20_FUNCTION	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)	1e-51
712	COG20_FUNCTION	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)	5.6e-150
713	COG20_FUNCTION	COG1802	DNA-binding transcriptional regulator, GntR family (GntR) (PDB:3FMS)	6.6e-65
714	COG20_FUNCTION	COG3658	Cytochrome b subunit of Ni2+-dependent hydrogenase (CytB)	7.2e-32
716	COG20_FUNCTION	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	3.2e-16
717	COG20_FUNCTION	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	4.4e-10
718	COG20_FUNCTION	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	1.6e-35
719	COG20_FUNCTION	COG3791	Uncharacterized conserved protein (PDB:1X6M)	5.8e-08
720	COG20_FUNCTION	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	7.4e-20
721	COG20_FUNCTION	COG1206	Folate-dependent tRNA-U54 methylase TrmFO/GidA (TrmFO) (PUBMED:16027442)	1.2e-185
723	COG20_FUNCTION	COG5330	Uncharacterized conserved protein, DUF2336 family	4.4e-29
724	COG20_FUNCTION	COG0739!!!COG1388	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain (NlpD) (PDB:2GU1)!!!LysM repeat (LysM) (PDB:1E0G)	1.3e-26
725	COG20_FUNCTION	COG0701	Uncharacterized membrane protein YraQ, UPF0718 family (YraQ)	6.1e-11
726	COG20_FUNCTION	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (YdfG) (PDB:3P19)	1.5e-23
727	COG20_FUNCTION	COG0006	Xaa-Pro aminopeptidase (PepP) (PDB:1A16)	7.3e-180
728	COG20_FUNCTION	COG1506!!!COG1765	Dipeptidyl aminopeptidase/acylaminoacyl peptidase (DAP2) (PDB:2JBW)!!!Uncharacterized OsmC-related protein (YhfA) (PDB:1LQL)	5.4e-91
730	COG20_FUNCTION	COG0150	Phosphoribosylaminoimidazole (AIR) synthetase (PurM) (PDB:1CLI)	3.9e-98
732	COG20_FUNCTION	COG0558	Phosphatidylglycerophosphate synthase (PgsA) (PDB:4MND)	2.2e-34
733	COG20_FUNCTION	COG0628	Predicted PurR-regulated permease PerM (PerM)	5.9e-82
734	COG20_FUNCTION	COG0593	Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)	4e-33
735	COG20_FUNCTION	COG0855	Polyphosphate kinase (Ppk) (PDB:1XDO)	6e-237
736	COG20_FUNCTION	COG0248	Exopolyphosphatase/pppGpp-phosphohydrolase (GppA) (PDB:1T6C)	7.9e-119
738	COG20_FUNCTION	COG0349	Ribonuclease D (Rnd) (PDB:5C0Y) (PUBMED:18821773)	3.9e-110
739	COG20_FUNCTION	COG0173	Aspartyl-tRNA synthetase (AspS) (PDB:1C0A)	4.8e-240
740	COG20_FUNCTION	COG0330	Regulator of protease activity HflC, stomatin/prohibitin superfamily (HflC)	1.5e-76
741	COG20_FUNCTION	COG1585	Membrane protein implicated in regulation of membrane protease activity (YbbJ) (PDB:2EXD)	1.1e-20
742	COG20_FUNCTION	COG1360	Flagellar motor protein MotB (MotB)	1.9e-90
743	COG20_FUNCTION	COG1291	Flagellar motor component MotA (MotA)	7.7e-78
745	COG20_FUNCTION	COG1210	UTP-glucose-1-phosphate uridylyltransferase (GalU) (PDB:2E3D)	3.5e-103
746	COG20_FUNCTION	COG1087	UDP-glucose 4-epimerase (GalE) (PDB:1A9Y)	8.7e-119
747	COG20_FUNCTION	COG2845	Uncharacterized conserved protein, DUF459 domain	1.1e-39
748	COG20_FUNCTION	COG5572	Uncharacterized membrane protein	4.5e-20
749	COG20_FUNCTION	COG3220	Uncharacterized conserved protein, UPF0276 family (PDB:3BWW)	3.8e-97
750	COG20_FUNCTION	COG3219	Uncharacterized conserved protein, DUF2063 family (PDB:3DEE)	1.1e-41
751	COG20_FUNCTION	COG2259	Uncharacterized membrane protein YphA, DoxX/SURF4 family (DoxX)	1.2e-24
752	COG20_FUNCTION	COG1506	Dipeptidyl aminopeptidase/acylaminoacyl peptidase (DAP2) (PDB:2JBW)	5.5e-24
753	COG20_FUNCTION	COG2010	Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)	7.7e-93
754	COG20_FUNCTION	COG4736	Cbb3-type cytochrome oxidase, subunit 3 (CcoQ)	3.4e-12
755	COG20_FUNCTION	COG2993	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO (CcoO) (PDB:3MK7)	5.9e-96
756	COG20_FUNCTION	COG3278	Cbb3-type cytochrome oxidase, subunit 1 (CcoN) (PDB:3MK7)	3.9e-225
757	COG20_FUNCTION	COG0642	Signal transduction histidine kinase (BaeS) (PDB:1JOY)	5.5e-64
758	COG20_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	1.1e-52
759	COG20_FUNCTION	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component (UgpB) (PDB:2Z8D)	1.3e-164
760	COG20_FUNCTION	COG1175	ABC-type sugar transport system, permease component (UgpA) (PDB:3FH6)	3.8e-118
761	COG20_FUNCTION	COG0395	ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)	4.7e-119
762	COG20_FUNCTION	COG3839	ABC-type sugar transport system, ATPase component MalK (MalK) (PDB:2ONK)	1e-102
763	COG20_FUNCTION	COG0119	Isopropylmalate/homocitrate/citramalate synthases (LeuA) (PDB:4JN6)	7.3e-90
764	COG20_FUNCTION	COG4664	TRAP-type mannitol/chloroaromatic compound transport system, large permease component (FcbT3)	2.8e-181
765	COG20_FUNCTION	COG4665	TRAP-type mannitol/chloroaromatic compound transport system, small permease component (FcbT2)	2.2e-52
766	COG20_FUNCTION	COG4663	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component (FcbT1) (PDB:2HZK)	2e-153
767	COG20_FUNCTION	COG1257	Hydroxymethylglutaryl-CoA reductase (HMG1) (PDB:1DQ8)	4e-155
768	COG20_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	2e-34
769	COG20_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)	2.7e-63
770	COG20_FUNCTION	COG1278	Cold shock protein, CspA family (CspC) (PDB:1C9O)	2.8e-53
771	COG20_FUNCTION	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	1.8e-122
772	COG20_FUNCTION	COG4597	ABC-type amino acid transport system, permease component (BatB)	6.4e-108
773	COG20_FUNCTION	COG0765	ABC-type amino acid transport system, permease component (HisM) (PDB:4YMS)	5.7e-98
774	COG20_FUNCTION	COG1126	ABC-type polar amino acid transport system, ATPase component (GlnQ) (PDB:4YMS)	8.6e-119
775	COG20_FUNCTION	COG0809	S-adenosylmethionine:tRNA-ribosyltransferase-isomerase (queuine synthetase) (QueA) (PDB:1VKY)	4.2e-111
776	COG20_FUNCTION	COG0563	Adenylate kinase or related kinase (Adk) (PDB:1AK2)	8.5e-28
777	COG20_FUNCTION	COG0563	Adenylate kinase or related kinase (Adk) (PDB:1AK2)	1.2e-26
778	COG20_FUNCTION	COG0343	Queuine/archaeosine tRNA-ribosyltransferase (Tgt) (PDB:1XW8) (PUBMED:15805528)	5.1e-147
780	COG20_FUNCTION	COG2905	Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains	2.7e-32
782	COG20_FUNCTION	COG5388	Uncharacterized conserved protein	1.7e-28
784	COG20_FUNCTION	COG3672	Predicted transglutaminase-like protein (PDB:4FGO)	9.7e-40
785	COG20_FUNCTION	COG0061	NAD kinase (NadK) (PDB:1SUW)	2.3e-82
786	COG20_FUNCTION	COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme (CysD) (PDB:1ZUN)	6.6e-125
787	COG20_FUNCTION	COG0529!!!COG2895	Adenylylsulfate kinase or related kinase (CysC) (PDB:2GKS)!!!Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family (CysN) (PDB:1ZUN)	9.2e-116
789	COG20_FUNCTION	COG2303	Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)	9.7e-176
790	COG20_FUNCTION	COG5330	Uncharacterized conserved protein, DUF2336 family	1.8e-45
791	COG20_FUNCTION	COG5470	Uncharacterized conserved protein, DUF1330 family	2.2e-11
792	COG20_FUNCTION	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family (PhyH) (PDB:2A1X)	3.2e-110
793	COG20_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	9.8e-68
795	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	3.8e-06
796	COG20_FUNCTION	COG0489!!!COG3206	Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family (Mrp) (PDB:2PH1) (PUBMED:18616280;19114487;31709520)!!!Exopolysaccharide export protein/domain GumC/Wzc1 (GumC) (PUBMED:15003255;23089617)	1.9e-26
799	COG20_FUNCTION	COG1349	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family (GlpR)	1.5e-81
800	COG20_FUNCTION	COG0578	Glycerol-3-phosphate dehydrogenase (GlpA) (PDB:2RGH)	2.5e-114
801	COG20_FUNCTION	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	3.4e-211
802	COG20_FUNCTION	COG3564	Uncharacterized conserved protein, DUF779 family	3.4e-44
803	COG20_FUNCTION	COG0693	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids) (YajL) (PDB:5SY4) (PUBMED:19028889;28596309;26678554)	4.4e-78
804	COG20_FUNCTION	COG1893	Ketopantoate reductase (PanE) (PDB:1BG6)	1.2e-71
806	COG20_FUNCTION	COG2132	Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA) (SufI) (PDB:2YXV)	2.7e-121
807	COG20_FUNCTION	COG2132	Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA) (SufI) (PDB:2YXV)	7.3e-119
809	COG20_FUNCTION	COG2372	Copper-binding protein CopC (methionine-rich) (CopC) (PDB:1IX2)	8.4e-08
811	COG20_FUNCTION	COG1733	DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)	1.3e-27
812	COG20_FUNCTION	COG0655	Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase (WrbA) (PDB:4DY4)	2.7e-59
816	COG20_FUNCTION	COG0642	Signal transduction histidine kinase (BaeS) (PDB:1JOY)	1e-63
817	COG20_FUNCTION	COG1493	Serine kinase of the HPr protein, regulates carbohydrate metabolism (HprK) (PDB:1JB1)	7.2e-16
818	COG20_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	4.8e-100
819	COG20_FUNCTION	COG0492	Thioredoxin reductase (TrxB) (PDB:3FBS)	5.7e-136
820	COG20_FUNCTION	COG1522	DNA-binding transcriptional regulator, Lrp family (Lrp) (PDB:1I1G)	9.4e-58
821	COG20_FUNCTION	COG0782	Transcription elongation factor, GreA/GreB family (GreA) (PDB:1GRJ)	3.4e-52
826	COG20_FUNCTION	COG0481	Translation elongation factor EF-4, membrane-bound GTPase (LepA) (PDB:3DEG)	7.3e-281
828	COG20_FUNCTION	COG1609	DNA-binding transcriptional regulator, LacI/PurR family (PurR) (PDB:1BDH)	4.6e-126
829	COG20_FUNCTION	COG1129	ABC-type sugar transport system, ATPase component (MglA)	2.5e-197
830	COG20_FUNCTION	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component (AraH)	1.2e-131
831	COG20_FUNCTION	COG1879	ABC-type sugar transport system, periplasmic component, contains N-terminal xre family HTH domain (RbsB) (PDB:1BA2)	1.7e-76
832	COG20_FUNCTION	COG1198	Primosomal protein N' (replication factor Y) - superfamily II helicase (PriA) (PDB:6DCR)	8.8e-77
833	COG20_FUNCTION	COG3791	Uncharacterized conserved protein (PDB:1X6M)	1.4e-30
834	COG20_FUNCTION	COG1670	Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)	6.5e-52
835	COG20_FUNCTION	COG3791	Uncharacterized conserved protein (PDB:1X6M)	2.5e-27
837	COG20_FUNCTION	COG0730	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family (TauE) (PUBMED:21183667;22797525)	2.1e-15
838	COG20_FUNCTION	COG1477	FAD:protein FMN transferase ApbE (ApbE) (PDB:1VRM) (PUBMED:23558683;30154099)	3.6e-53
839	COG20_FUNCTION	COG0369!!!COG3182	Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases (CysJ) (PDB:1YKG) (PUBMED:20118259)!!!PepSY-associated TM region (PiuB) (PUBMED:15124630)	9.6e-176
841	COG20_FUNCTION	COG0451	Nucleoside-diphosphate-sugar epimerase (WcaG) (PDB:2X4G)	1.4e-136
842	COG20_FUNCTION	COG0587	DNA polymerase III, alpha subunit (DnaE) (PDB:2HNH)	0
844	COG20_FUNCTION	COG2009	Succinate dehydrogenase/fumarate reductase, cytochrome b subunit (SdhC) (PDB:2WU2) (PUBMED:18511537)	1e-33
845	COG20_FUNCTION	COG2142	Succinate dehydrogenase, hydrophobic anchor subunit (SdhD) (PDB:2WS3)	2.9e-36
846	COG20_FUNCTION	COG1053	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit (SdhA) (PDB:1KF6)	2.2e-277
847	COG20_FUNCTION	COG0479	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit (SdhB/FrdB) (PDB:6LUM)	1.5e-68
